,Unnamed: 0,French,English
0,0,chercher,search
1,2,aide,help
2,3,demande,request
3,4,genre,kind
4,8,aucun,no
5,9,laisse,leash
6,10,ville,city
7,12,parlé,speak
8,13,arrivé,come
9,14,longtemps,long time
10,16,vont,will
11,17,pendant,while
12,21,parle,speak
13,22,compris,understood
14,23,savais,knew
15,24,étaient,were
16,25,voici,here is
17,26,affaire,case
18,28,type,type
19,29,leurs,their
20,31,corps,body
21,33,yeux,eyes
22,36,dont,whose
23,37,trouve,find
24,38,premier,first
25,40,main,hand
26,41,première,first
27,42,côté,side
28,44,vieux,old
29,45,sois,be
30,48,tellement,so much
31,50,venu,came
32,51,suite,after
33,52,pardon,sorry
34,53,venez,come
35,54,vers,towards
36,55,minutes,minutes
37,56,demandé,request
38,57,chambre,bedroom
39,59,droit,law
40,60,aimerais,would like to
41,61,aujourd'hui,today
42,63,cause,cause
43,65,espère,hope
44,66,eau,water
45,67,attendez,Wait
46,68,parti,left
47,69,boulot,job
48,70,arrêter,Stop
49,74,donne,given
50,77,croire,believe
51,78,chérie,sweetheart
52,79,gros,large
53,80,plutôt,rather
54,81,filles,girls
55,82,bureau,office
